country,region,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Ethiopia,North Africa,,,,,,,,,,,,,,,,,358.73350387081706,368.0951706932588,311.15144352369913,290.94233369045435,284.8660095597587,259.584405004551,269.4132704562488,300.54893295287746,297.14404791073304,416.57407754827403,654.0954705308692,520.9602142349354,471.0049951600827,543.748386146364,726.6179143418187,904.3228886614423,870.1973278743925,867.4445241460212,920.776765969784,879.6789768034016,750.0455431531296,850.5156279731203,945.9443738760929,1139.610126963824,1343.4940671268048,1283.4288255546564,637.2450368352869,376.74953592499764,416.560334484743,384.01719286470814,323.9302543550899,376.9828791639497,693.2421438277748,1482.4039743181804,2352.3143839517656,2121.7146742563423,1348.036620681209,1120.3946459380472,954.1666045926041,1034.9929939090257,1038.744518153199,938.2379324807339,859.3504517435044,687.0154235793583,679.7685814650398,687.4729039057962,662.5096005480721,619.1583577487132,620.6785182209483,677.0609855136522,694.0787373259288,762.0534273139226,794.9676803002717,801.7603231117773,760.2997625066271,1066.6157216364925,2229.4199124304123,2210.181008601298,1409.020101008437,1119.099381859625
Gabon,North Africa,,,,,,,,,,,,,,,,,,,14.82125335004214,14.483012543266032,21.496040176982603,23.47096165058727,26.68758511224252,28.649795358989273,33.679177204299855,36.147191278120346,40.216604434658414,44.562558064727774,57.86813088836514,,82.3959608935323,87.89277194487728,133.82605796100341,139.0607797097451,142.4910619421535,143.172885315847,163.00044744984945,168.375578759723,,,,,,,,,,,,,,178.24067142591502,177.195077257385,177.13010081841279,165.3818639187133,172.81426466671277,157.05527226280938,174.13099500909956,,,,297.78066520462926,277.27455478950566,305.6225888907584,298.5178505487386,210.4824106636687,206.82209843789693,241.81634792861502,307.49323089850003,271.3811287385042,285.3055795141789,272.9291759559607,307.6392589751041,295.8631218412608,265.3858026318787,312.4799439930434
"Gambia, The",North Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9076084418045919,1.175017644375853,1.585337935343871,1.5152555764825666,1.666535255468925,2.196491073148612,2.8890376552105455,3.4050806877854627,4.006738859772328,3.2663527148894698,2.294876057094871,2.149767119798197,2.493754290778716,3.447020191533094,3.7108969571619137,3.7130813634962827,3.3277634988632534,3.497379595850047,3.0319989893021786,3.262980832336768,3.531579782989967,3.1465193907935767,4.413977825606979,3.9650364507484492,5.442389527515307,17.549143646245266,8.330092126036147,,,13.759672545854603,13.555337043468336,20.8884927277757,18.96958252791997,,,14.375421395927033,17.57926418075956,17.470244526093833,17.45799722360102,16.366363850926497,13.950935482351191,14.20608774699671
Ghana,North Africa,,,,,,,,,,46.15581742611121,52.57802763715697,92.60945859307546,115.18584296068667,107.34419082667047,114.37223649323857,109.06205432618101,92.14792104016423,108.28723660874584,,146.39603680654852,151.06839155847527,140.3198995193919,113.89128967767702,97.88097890051951,98.77503207266214,128.91670884744124,122.07122927735757,88.26697022404937,55.79500330209113,41.162667662767525,27.21209667395486,32.955405850854724,24.68059177001313,,10.57783601995843,19.359449853208563,37.529147062110496,40.42532753543336,41.80974006120032,22.00139242584513,23.30661979679576,25.044593764750182,35.882621575792285,38.96409518411229,45.57014293671202,49.59211646210486,50.60941068600793,42.64473128729098,42.758144495297,53.187115948795174,60.361342934703984,75.50286634362337,44.594114097622594,51.55632516456583,62.57513028962903,58.225479129520494,57.891122520787604,61.83845888888444,94.87446955324349,83.05103958192076,96.5230149597816,91.67791344766711,170.42796927868005,262.05134779185113,193.06637353474107,258.2009998298154,206.51242016325355,156.03077945111963,178.30945458589952,202.39488015050367,230.27380528437828,235.13619405127957,274.68654543488276,244.2267777051518,285.3759346916375,279.16882283991714
Guinea,North Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.77491786257603,51.83665427813549,42.40597337498354,,,,,,,,,181.38359190727937,144.39782047714237,112.76443915146149,115.41206840630227,,,112.98760182715203,123.20580694876121,162.0567342909389,159.11779279375278,321.74108419449897,353.9467219993044,274.6858832567526,254.5731121874654,,,,,,,,381.34607662584864,392.70507862483294,375.88305384548386,403.45602336507073,326.48168404744945,342.17847815736576,335.71529273240276,312.5644513848155,309.674341338237,332.12454545683687,485.57534891882545,504.6671802862754,505.4432963735355
Guinea-Bissau,North Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.166595381932702,21.572238815405402,11.635504047916344,5.99858110050949,7.987486075306885,6.330413203429261,,8.07788512443285,,,,,4.314829747785316,4.563709451249804,3.7907244303555627,3.503212963808164,5.230245807241124,,19.50176221157991,12.603431995082277,11.93833607170985,12.168026875473158,,17.102553639326473,,,,14.988281170903218,19.112095159076958,17.72864869812079,26.25491333203009,22.253521530052083,22.361757823038804,20.917451516600256,19.081621438494007,22.46273408809044,23.602728294173044,26.43236576944931,27.480000875030797,27.523066156365925,27.037826484376307,25.29239217056829,
Kenya,North Africa,,,,,,,,,,,,43.955714849362145,14.841631517190477,10.794706472097152,29.7030479163011,93.89252858294122,152.59200955400107,191.54852850638855,230.65123813086066,235.241297984345,226.77599971368193,239.8705591653069,299.7509397734759,381.4756408230684,430.5942301558345,465.4538550491149,465.16771275987685,667.420822423281,1119.2551586803706,1448.6934980847268,1576.8428432325932,1283.3774404534986,1244.6398455398548,1258.3735213204982,1178.842675947375,970.6068054406653,815.6528959956333,976.6389723888834,1256.4748783797445,1212.5950245738916,1125.3499007816654,1147.3375151574767,893.0995267252682,667.9103788164477,558.0207929822778,464.67500469059314,533.5047917444667,623.4779764195586,592.6708243883247,558.2316318465965,543.3224607687806,583.248601859059,671.1977393144431,722.4276841270243,729.385269742754,719.716273202829,759.1781706078409,750.8901800244038,840.7925378878648,802.4596500944443,818.7100387344416,868.0349105184818,887.0910794414316,1002.7919652097328,990.0077905383151,900.0244004438149,971.2980036846328,1044.940953292857,1072.3692485575825,1100.2693701503526,1055.9894009505795,1044.6545217700689,1073.9532289560402,1048.726389087329,1053.7955722424294,1129.8061060519874
Lesotho,North Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.610995292359766,2.7148565406009073,3.4536061226408012,3.857932857314792,6.6505588597652725,7.097445242663209,9.457272814612809,7.764446352394371,8.089489653688762,9.363838284695705,10.196339941985242,11.013277102833122,10.330087950896258,13.850452993821602,13.081680965180956,10.952037354941453,10.48552465555866,9.70049819586253,11.373961927148363,14.13657529566009,12.639761077346064,20.534399579763477,24.33291133614496,34.5243337245889,33.131157571714354,34.81072488697528,26.634624469595593,25.078694071266575,23.38887191742128,23.84385570156864,25.078351659757967,27.318469612255154,19.865275305046605,42.47353223260813,56.05412605472468,43.57140281981494,42.517487070799035,42.93578948081868,45.5650469159874,47.907447015270776,48.87062110856356,53.462240230074066,49.4611759812865,45.03554477037175,42.116844572187944,34.183705103780206,32.7215058405404,34.446236515400514,33.80712881643252
Liberia,North Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.8724723500623,43.76724442854577,23.69807267206445,14.903485708070281,23.562996980662977,30.237546928297338,38.007415755380656,48.91402437597643,55.419407727929844,51.286463458387125,44.89087693941894,42.43377271189773,38.756655642923214,31.245277652553987,25.088247033564677,19.269358722301668,16.47615271294381,35.208089123346724,57.467109383478956,62.518,31.415993833792687
Madagascar,North Africa,,,,,,,,,,,,,,,,44.72045812959265,48.61724529940153,49.88380683870723,52.83788820390854,56.36329200191509,56.982219480084524,55.223963679145555,54.96724092354123,59.84367313099034,62.91260108559502,70.78301761994135,67.94434003670935,78.97085122315434,104.77119262581621,107.22927714551373,139.0862135115967,128.99904855257034,121.58585354692981,,,95.08400526346831,91.28693560053179,80.91167712206592,80.64880893967675,75.09131997589695,72.15602134394315,75.46263646359739,78.07080719163636,46.08886263235514,70.43830509599175,59.239046586890254,54.43788431325457,78.75587182589565,100.41147055313454,97.01627450862038,90.98594145621333,91.8301154053272,114.12359713692548,90.18850845153263,104.4274598102124,103.88425128550395,93.28465440732195,89.90003904752885,108.36057574863919,113.92159772937931,82.29678083510763,64.53740402010152,72.23797186314074,70.61428512421284,70.25829478672634,70.25110092212437,67.20569816734631,69.18371999022686,70.1602159311685,75.89519876973388,81.91601285048813,93.99580807867875,101.01883005327383,100.02889681745606,101.86616111700118,115.41093540541716
